丫	Daemon	Yaya
吖	Bleak	
椏	Bleak	A
鴉	crow	Crow
啞	dumb	Dumb
亞	Sub -	Asiatic
啊	ah	Ah!
阿	San	Ah
呀	ah	Yah
咓	Bleak	
呀	ah	Yah
阿爸	Dad	Abba
阿伯	Aber	Abel
阿跛	Aya	Lame
阿崩	Ajan	Abbeng
阿崩吹簫	Aju blowjob	A Bump Blowjob
阿崩叫狗	Ajan Dog	A collapse barking dog
阿崩養貓	Ajan Cat	A collapsed cat
阿崩買火石	Ajan buy firestone	Avalanche Buy Flintstones
阿崩咬狗蝨	Ajan biting dog lice	Avalanche Bite Dog Lice
阿崩劏羊	Ajan Sheep	Aapeng sheep
阿B	B	Ah B
阿邊個	Abian	A side
阿B仔	A B Tsai	Ah B Tsai
椏杈	Bleak	A forks
阿差	Ah	Abashi
阿燦	A Chan	Ah Chan
阿大	Aga	A Da
阿頂	Dome	A Ding
阿飛	hooligan	Fei
阿肥	Fertilizer	Fat
阿福	Afu	Afford
丫撬	Pry	Ya pry
阿哥	Brother	Argo
阿姑	Auntan	Auntie
阿公	Grandpa	A Gong
啊吓	Scary	Ah, scare.
啞口	Dumb	Dumb mouth
阿HEAD	A Head	A HEAD
啊呵	Ah	Ah, huh?
哎	Why	Hey!
唉	well	Alas
埃	Ethics	Eilen
挨	suffer	Rounded
啀	Bleak	
嗌	Bleak	
II	II	II
挨挨憑憑	Be	Rounded
IDD	IDD	IDD
嗌貨	Cash	Cargo
嗌交	Fellow	Intersection
嗌救命	Sacrifice	Help!
哎吔唷	Hey 吔 吔	Aee Yo
嗌嘢食	嗌 嘢 嘢	JUPYEAH FOOD
IQ	IQ	IQ
挨๺嚟	๺ ๺ ๺	Cone
挨晚	Late	Late
嗌咪	Mimon	Demi
嗌外賣	Takeaway	Takeout
挨年近晚	Narc:	Year-late
挨㖕	Be embarrassed	beating
挨㖕椅	Sideline chair	Benchair-beating
嗌生晒	嗌 嗌 嗌 嗌	Sun-drying
嗌霎	Sorrowful	Sharp
挨身挨勢	Beside the momentum	Get Rounded
嗌數	Quota	Number of
嗌通街	Yantong Street	Po Tung Street
啞忍	Dumb	Dumb
阿一	One	Ah, I
阿一哥	Brother A	A brother
阿爺	Grandpa	Grandpa
阿姨	Aunt	Auntie
阿二	Second	Ah two
呃	Well	Uh...
鈪	Bleak	Bangle
ACCOUNT	Account	ACCOUNT
阿妗	Tadpole	Alishan
阿蘭賣豬	Alan sells pigs	Allan sells pigs
啞佬	Dumb	Dumb
阿聾送殯	A deaf to send	Deaf Funeral
吖嘛	吖	Oh, man.
阿媽	Grandma	Grannies
阿嫲	Tadpole	Alishan
阿貓阿狗	A cat and dog	Cats & Dogs
阿乜水	Album water	Awha water
阿茂	Ama	A Mao
阿茂整餅	Ama	A Mao Whole Cake
啞妹	Dumb girl	Dumb sister
阿妹	Amei	Sister
安	install	Ann
晏	Stubborn	Yan
吖嗱	Bleak	
啞女	Dumb girl	The Dumb Woman
阿女	Daughter	A girl
罌	Popcorn	poppy
晏覺	Yanjue	Yan Jak
晏起身	Yan Qi	Ann up
安啲	Safe	Safely
晏晝	Yan Day	An-day
晏晝飯	Yan Dayan	Ankoran day rice
押	Pledge	Pawn
鴨	duck	Duck
鴨	duck	Duck
鴨吧	Duck	Duck Bar
鴨場	Duck field	Duck Farm
鴨蛋	Duck egg	Duck egg
鴨竇	Duck	Duck sinus
鴨店	Duck shop	Duck Shop
鴨公	Duck	Duck
鴨潤	Duck	Duck Run
鴨潤腸	Duck intestine	Duck Sausage
鴨乸	Duck	Duck foal
鴨乸腳	Duck	Duck feet
鴨乸蹄	Duck	Duck hoof
啞婆	Dumb	Dumb
阿婆	Grandma	Grandma
鴨頭	Duck head	Duck Head
鴨仔	Duck	Duckling
鴨仔	Duck	Duckling
鴨仔聽雷	Ya Zai Listening Thunder	Duck listening to Ray
鴨仔團	Duck	Ducklings
鴨嘴帽	Duck	Duck Beak Hat
ASSIGNMENT	Assignment	ASSIGN
阿細	Sine	Asee
阿嬸	Grandma	Auntie
丫臣	Citizen	Yassen
阿四	A Si	Ah Four
亞視	ATV	ATV
阿星	Astrology	A Xing
阿SIR	Sir	A SIR
阿蛇	Snake	Serpent
阿嫂	Grandma	Sister!
阿叔	Uncle	Uncle
壓	Press	PRESSURE
押	Pledge	Pawn
阿頭	Head	A head
ARTS	Arts	ARTS
押款車	Pledged car	Deposit car
壓力爆煲	Stress burst pot	Pressure Burst Pot
壓力煲	Stress pot	Pressure Cooker
阿駝	A camel	The camel
ARTS	Arts	ARTS
拗	bend	Aonin
凹	concave	concave
坳	depression	Au
拗	bend	Aonin
詏	Bleak	
拗柴	Stubborn	Katsuchai
拗交	Stubborn	Anaconies
拗頸	Neck	Neck
拗撬	Pry	Crowing
拗氣	Stubborn	Aonating
拗腰	Shake	Kindin
拗數	Stubborn	Argue number
鴉烏婆	Crow	Crow Crow
啞仔	Dumb	Dumb
阿仔	Azai	Aberdeen
阿姐	Sister	Sister!
阿姐級人馬	Sister -level man	Asise-class
阿支阿咗	Azaka	Ashia!
阿豬阿狗	Azhu and Dog	Pig dog
哎	Why	Hey!
矮	short	Dwarf
矮凸凸	Dwarf	Dwarf convex
矮瓜	Dwarf	Dwarf Melon
哎吔	Otak	Aee
哎吔	Otak	Aee
哎吔老竇	Oh	Aee sinus
哎吔女	Hey sister -in -law	Whoops
矮妹	Dwarf girl	Dwarf
矮婆	Dwarf	Dwarf
I.C.A.C.	I.c.a.c.	I.C.A.C.
矮仔	Dwarf	Short Boy
矮仔多計	Dwarf	Short Boy More Counting
握	grip	Grip
呃	Well	Uh...
奄	suddenly	Amelette
庵	Tadpole	hermitage
暗	dark	dark
暗啞底	Dull	Dull bottom
暗瘡	Acne	Acne
暗瘡印	Acne	Acne Prints
暗花	Dark flower	Dark Flowers
暗格	Dark	Dark Grid
暗渠	Dull	Culvert
奄列	Column	Omelette
暗戀	Secret love	Crush Love
UN	UN	UN
罌	Popcorn	poppy
罌告	Pill	Poppy
噏	Bleak	
噏哋	Be	F.F.a
UPLOAD	Upload	Upload
噏西	West	Xi
OUT	Out	OUT
歐	Europe	EURO
甌	Outer	Ou
嘔	vomit	Vomit
慪	Bleak	
漚	steep	
OUTDAY	Outday	OUTDAY
嘔電	Vomiting	Vomiting
慪氣	Sorcery	Air
歐羅	Euro	EURO
歐晒	European exposure	Ou Xai
漚仔婆	Taipa	Grandma
叭	Babble	Trumpet
吧	Bar	Bar
峇	Babble	Ba
巴	-bar	Ba
爸	dad	Dad.
芭	Bab	Baba
葩	Dazzling	Pa
巴	-bar	Ba
爸	dad	Dad.
巴	-bar	Ba
把	Bundle	Putting
靶	target	Target
霸	Hegemony	Pa
罷	stop	Bale
罷	stop	Bale
巴閉	Closure	Ba closed
爸B	Dad B	Dad B
巴打	Stubborn	Bata
芭菲	Patfei	Parfait
把火	Fire	Put the fire
芭芙	Bald	Parfait
把幾火	How many fires	Put a few fires
把鬼	Ghost	Putting Ghosts
把鬼火	Ghost fire	Put a ghost fire
擺	put	Pendulum
拜	bye	Bye-bye
拜	bye	Bye-bye
敗	defeat	defeat
拜拜	Bye-Bye	Bye.
擺薄落	Put down	Thinning
擺堆	Pile	Putting Pile
擺檔	Put on a gear	Pendulum gear
擺款	Settlement	Pendulum
擺街邊	Sink on the street	Put the street
敗家仔	Prodigal	The loser
敗家精	Prostitution	Prodiga
拜關帝兄弟	Byegant Emperor Brothers	Emperor ByGuan Brothers
拜關二哥	Bye Guan Erci	ByGuan second brother
擺柳	Willow	Pendulum Willow
擺唔到	Reaches	Not to swing
擺尾	Tail	Pendulum tail
擺NUM.圍	Num.	Pendulum num.
BIO	BIO	BIO
擺平	Set	Flattened
擺甫士	Picker	Pendulum
拜山	Worship	Bai Shan
擺上枱	Put on stage	Put on the table
擺軚	Puppet	Steering wheel
擺攤	Stall	Stall
擺枱	Set up	Table Set
擺烏龍	Oolong	Pendulum Oolong
擺酒	give a feast	Wine pendulum
啪	Snapped	Snapping
迫	force	Forced
伯	Uncle	Berber
百	Hundred	Hundred
白	white	White
蔔	predict	Radish
白	white	White
百八	One hundred and eight	Hundred eight
白鼻哥	Bai Ni Brother	White-nosed Brother
百七	Hundred -seven	One hundred seven
白車	White car	White Car
白車佬	White car	White Chick
白痴佬	Idiot	Idiots
白痴仔	Idiot	Idiot
白灼	White burning	White-burning
白灼菜心	Bai Shicai	White Boiled Choy Sum
白灼蝦	Boiled shrimp	Boiled shrimp
白菜	Chinese cabbage	Cabbage
白䱽魚	White catfish	White Mackerel
百搭	Versatile	Wild
白豆	White bean	White beans
白飯魚	Rice	White rice fish
百花蛇	Baihua snake	Hundred Flowers Snake
白粉	White powder	White powder
白粉友	White fan friend	Pink Friends
白粉水	Pink water	Powdered White Water
白粉仔	Bai Fanzi	White powder
白方包	White square bag	White Bread
伯父	uncle	Uncle
白虎	White tiger	White Tiger
百家樂	Baccarat	Baccarat
白金咭	White golden cricket	Platinum Card
白鴿	White pigeon	Pigeon
白鴿籠	White pigeon cage	White pigeon cage
白鴿眼	White pigeon	Pigeon Eye
百吉包	Baiji bag	Bagel
百九	A hundred nineteen	Hundred Nine
白狗得食,黑狗當災	White dogs have to eat, black dogs are disaster	White Dog Eats, Black Dog Disaster
伯公	Uncle	Bok Gong
白瓜	White melon	White Melon
白瓜子	White melon seed	White Melon Seed
白鬼佬	White ghost	White Gweilo
白鬼妹	White ghost girl	White ghost sister
白鬼婆	White ghost mother -in -law	White Haunted
白鬼仔	Bai Guizai	White ghost boy
白滾水	White water	White boiling water
百合匙	Be spoon	Lily Spoon
吧京	Bargain	Bar Kyo
百一	One hundred	Hundred One
啪一聲	Snap	Snapping
白油	White oil	White oil
伯爺	Uncle	Uncle
伯爺公	Bo Grandpa	Uncle Grandpa
伯爺婆	Uncle	Uncle Grandma
百二	One hundred two	Hundred two
百厭	Annoying	Hundred
百厭星	Starry	Hundred star
百厭仔	Bai Danzi	Hundred
百厭精	Boring	Sperm
白英泥	Bai Ying mud	Pak Ying Clay
白肉西柚	White meat grapefruit	White meat grapefruit
白賴嘥	Bai Lai	White Waste
白欖	White	White olives
白蘭	White orchid	White Orchid
白蘭地	Brandy	Brandy
白領	white collar	White-collar
白領階級	White -collar class	white-collar
百零個	One hundred	One hundred
白領麗人	White -collar beauty	White-collar Beauty
