Word	POS	Def	derogatory	offensive	vulgar	age	crime	disability	ethnicity	geography	other	politics	religion	sex	socioeconomic	substance	suicide
#MeToo	noun	social movement opposing sexual harassment					sexual					feminism		gender_female, sexuality
'hood	noun	gangster or similar violent criminal					y
'hoods	noun	gangster or similar violent criminal					y
'tard	noun	person who has intellectual disability		y				mental
'tards	noun	person who has intellectual disability		y				mental
-assed	adjective	having buttocks of specified kind			y									bodypart
-bibber	noun	person who regularly drinks specified drink														alcohol
-bibbers	noun	person who regularly drinks specified drink														alcohol
-blood	noun	person of specified descent					y		black
-bloods	noun	person of specified descent					y		black
-brained	adjective	having intellectual capacity of certain quality or kind	y
-ese	affix	denoting character or style	y
-head	affix	forming informal nouns denoting addict or habitual user of specified drug														drugs
-ite	affix	denoting followers of movement, doctrine, etc.	y
-mate	noun	sexual partner												sexuality_relationship
-mates	noun	sexual partner												sexuality_relationship
-rigging	verb	manage or conduct something fraudulently so as to gain advantage					y
-runner	noun	person that runs					drugs, police									drugs
-runners	noun	person that runs					drugs, police									drugs
-stoner	noun	person who regularly takes drugs														drugs
-winger	noun	attacking player on wing in sports										supporter
4-20	noun	used to designate marijuana														drugs
420	noun	used to designate marijuana														drugs
9/11	empty	attack in which two airliners were flown into World Trade Center, date of terrorist attacks on US on 11										terrorism, us	fundamentalism, muslim
911	empty	attack in which two airliners were flown into World Trade Center										terrorism, us	fundamentalism, muslim
A	noun	denoting highest-earning socio-economic category for marketing purposes													class, rich
AC/DC	adjective	bisexual												sexuality_bisexual
AF	abbreviation	as fuck			y
AFAB	abbreviation	assigned female at birth												gender_transgender
AI	noun	artificial insemination, injection of semen into vagina or uterus												bodypart_genital
AIDS	noun	disease with severe loss of body's cellular immunity												sexuality
AIs	noun	artificial insemination												bodypart_genital
AMAB	abbreviation	assigned male at birth												gender_transgender
ANC	empty	South African political party							black			nationalism, party
APB	noun	(in US) radio message sent to every officer in police force giving details of suspected criminal or stolen vehicle					police
APBs	noun	(in US) radio message sent to every officer in police force giving details of suspected criminal or stolen vehicle					police
ASD	noun	autistic spectrum disorder						autism
